,steemit,steem,day,photography,bitcoin,new,post,life,daily,sbd,photo,first,world,news,one,crypto,time,cryptocurrency,get,story,good,game,blockchain,market,giveaway,video,make,hello,like,price,music,power,nature,community,people,comment,money,upvote,introduction,old,year,may,round,vote,funny,health,introducing,blog,red,little,Bitcoin_Price
12/2017,438396,271141,365536,201223,308958,177252,168626,142457,104575,134912,120562,76583,96734,149986,74264,99001,74408,80464,54645,55011,52474,36927,42567,58035,35322,59524,48754,45592,43506,48562,42070,41097,39584,33241,37677,23051,37427,29634,39294,35821,79585,12923,24586,17621,44256,18596,31409,33251,30055,27824,14156.4
01/2018,903483,463473,401083,363531,308005,329848,271194,269938,175302,197190,162736,150832,153485,122054,136857,183263,124940,141228,98360,106518,92752,58069,70098,102917,54245,82782,81518,100062,75684,69640,69458,69102,74687,63493,59814,26436,52778,54860,80144,56782,129885,17111,50314,27988,45201,38963,61790,58500,54746,46890,10221.1
02/2018,711532,354851,353000,312029,262268,202997,224931,224412,157517,190666,171319,115148,113894,77308,118512,148524,99400,107466,83013,88141,88154,58504,61284,95921,51112,64791,65971,56144,69739,50971,70003,51472,61208,53282,53197,23759,48236,57923,48739,45737,43229,13685,52999,26910,44792,36132,48530,48297,49717,43232,10397.9
03/2018,802880,402449,357920,316728,298187,241675,223908,248419,187709,234422,169552,119840,143320,127436,122554,138677,115490,114251,91286,101554,87968,95270,86658,99678,52163,77137,82491,74934,73680,63883,66784,60327,75029,64063,62198,63711,54755,62610,56467,51468,29353,16394,43869,28057,60575,45559,53209,52724,54140,45558,6973.53
04/2018,434929,290461,224962,240850,140772,127279,144600,155093,129224,160450,102211,74489,81643,55519,85918,100936,78149,82058,53368,63713,60821,70756,67753,62632,31223,42496,51897,35585,44995,55168,45292,32121,49306,43630,35789,11885,28250,43683,26541,29246,19772,13881,45820,17761,28832,31720,24979,38675,31410,28608,9240.55
05/2018,406233,267702,301864,253426,130100,134163,181485,164141,149629,180744,95462,80913,87832,64509,87490,90579,77557,80964,54113,64981,62052,62237,81981,57274,49259,42669,46901,30427,41874,39821,54823,39540,49321,45330,40947,17997,27212,43376,28069,32544,20081,163790,43738,17692,36273,31024,32917,33749,29831,33707,7494.17
06/2018,263311,223643,214489,188690,104114,102903,133475,124737,112039,144962,77510,66357,154218,54459,63193,83703,61969,79753,45666,45567,41899,59889,74350,55201,50622,32122,31537,21005,31302,32183,38211,27785,35927,33476,28241,13829,23124,23707,19727,20918,20851,13972,42994,14821,29485,20671,21114,20876,22797,24796,6404.0
07/2018,206573,207346,146067,159987,113534,94971,118810,117395,90502,94986,61485,53445,102488,52304,53278,83963,50688,83637,49787,36830,36143,52687,70839,51550,36956,25199,31319,18744,28311,31961,29476,21386,35535,28460,25797,9888,26258,25315,17072,20846,18064,8481,36039,10391,15458,17534,18895,24122,20746,20936,7780.44
08/2018,157340,207330,119111,127475,79590,72174,97781,79802,74963,61313,51029,41512,53074,52726,48132,62093,43691,49443,38787,32123,31752,45362,51423,45607,23741,26444,22716,16723,24156,30807,23902,19760,27600,20734,19795,14407,17082,27037,13878,20528,15126,4729,29888,8931,11490,14327,15975,21287,14748,16631,7037.58
09/2018,116799,210977,94302,96583,50214,65289,79313,59866,55420,28344,35978,33247,38240,34695,30617,43831,35614,34083,25851,24050,26374,35489,41482,34694,24045,18709,20575,17222,20890,27437,18442,13231,20132,16328,18066,8879,13659,23941,10543,11928,8973,3007,20345,8259,7867,12909,8717,12093,11571,11923,6625.56
10/2018,94660,202973,90089,72520,43130,55832,52322,47152,50525,30905,27935,30063,37304,20267,30280,36466,29842,24016,37712,22300,20337,27791,32447,17197,27582,18740,15903,10879,17299,20259,18415,16354,13532,17358,18100,8188,11122,25912,6532,10710,8792,3269,25561,32108,7122,10209,8332,8923,8398,11707,6317.61
11/2018,69865,151369,59867,58086,42279,45777,39493,36770,44661,23752,25201,23623,26216,15702,20207,37753,22264,20284,17720,18711,17600,20663,28353,14587,26540,12337,10995,7970,14185,20612,14231,12406,10423,11632,13117,5091,8421,19499,5789,9609,7936,2761,13693,15066,5839,7687,7009,8726,6258,9244,4017.27
12/2018,55437,147449,54647,44610,28196,36537,37305,30660,39418,13604,19893,19174,19465,12148,16389,30259,18074,14301,14897,12476,14109,20329,21853,11597,25471,9660,9672,4727,11511,17739,11896,11661,9012,10933,10491,137459,7004,15799,2892,7725,18766,1783,10440,15618,4526,4230,4607,6750,4399,7203,3742.7
01/2019,68537,149077,54226,43223,30752,60996,30843,31245,40927,13994,15269,20320,19343,13849,17556,27925,18980,15101,19064,12360,14117,18960,22636,12252,27449,10670,11577,6752,12571,18001,12040,10361,9090,12016,8962,73963,8863,15174,3594,7643,35111,1862,8223,17327,4342,5637,4920,7827,4464,6383,3457.79
02/2019,22241,84441,55888,37644,13604,37665,26689,26144,39097,5812,16090,21425,19488,11432,14650,10790,15826,8342,15441,8170,12513,28085,19164,10307,31187,9980,9797,5180,10854,14807,11869,9239,7633,9757,7758,3922,6557,7186,4332,8142,12199,1574,8019,18050,2998,4178,2313,4288,4494,5469,3854.79
03/2019,25406,132757,59925,40510,12374,53837,39401,33745,46883,6526,17864,22836,23323,14074,19989,11088,18815,8673,28399,15107,16358,23287,12086,11510,35663,11828,12925,5594,12463,17220,13720,10314,9269,8729,10484,10528,5809,9246,5435,12313,6965,1840,10457,23438,6009,3935,3018,5074,4568,9640,4105.4
04/2019,21783,105049,53065,35197,13546,38925,34135,31253,40302,5140,17246,22879,16403,10768,24141,8758,18241,7720,26842,12037,12390,24976,10038,9232,39862,9145,18821,4195,8738,16094,11348,11601,7646,7456,8114,9591,21490,7891,6875,9961,4620,3385,8994,22217,2679,3329,2190,4326,3396,5485,5350.73
05/2019,77966,76859,47550,32901,13947,39508,25724,24916,35328,3420,13642,13032,12789,13169,11487,7643,14840,7401,11552,10563,10505,19841,8117,8286,32760,9671,7015,4051,9837,18363,9225,8900,7736,8173,8020,5011,4729,7262,2829,6442,3533,156645,6275,16991,2236,3057,1587,4291,3303,4703,8574.5
06/2019,21061,66690,35553,27200,11906,28404,17654,18401,27281,2824,7415,10444,15297,12741,8787,19795,17049,6850,21315,6517,29505,18357,7629,5715,22834,7179,5160,15800,6131,11134,8131,5733,5785,4803,5564,10436,3557,6196,2537,3918,3626,71030,3911,27964,1809,2096,1576,4389,2609,3301,10817.16
07/2019,17338,52030,34059,24948,10873,26554,14508,20017,29446,2359,9461,9450,11058,12991,8682,6684,9527,6632,8059,6470,6241,16715,7306,4746,25786,6598,5200,2964,6008,12166,7648,6506,5399,5098,5200,6207,3834,4964,2403,4019,3222,1374,3836,16640,1724,2562,3084,3676,2177,3235,10085.63
08/2019,11752,36615,24177,26840,8529,21866,13469,14669,27201,1590,10467,8899,9140,12389,8201,4688,7785,5306,6912,4776,5920,14507,5716,4646,23210,6660,5015,2339,4505,11896,7432,6133,5047,3470,5192,7309,3556,3058,2382,3395,3209,1194,3576,15355,1436,2262,1518,2780,2513,2813,9630.66
09/2019,8458,28757,16713,25831,7123,17596,10549,12280,20156,1157,7916,6682,7685,11289,6552,4311,6811,3879,6066,4763,4576,9846,4458,3306,16380,5262,4274,1901,3447,5182,5134,3952,4197,2242,3923,5546,3367,1939,1767,2767,1817,1091,3612,12539,1178,1762,1276,2603,2096,2588,8293.87
10/2019,7706,28227,21035,25288,6282,15743,11003,10270,20605,1135,8664,6395,7882,13086,6061,5156,6020,3991,5622,4607,3864,9421,4306,3629,18500,3833,3994,1474,3759,2732,5094,3050,4398,2671,2652,6233,3183,2074,1331,2716,1963,1016,3996,12576,972,1542,1080,2547,2023,2861,9199.58
11/2019,5681,25107,15819,21382,5537,12244,9558,9475,17976,1098,6453,6010,7190,13615,5592,4817,5719,3003,4859,4441,3503,6309,3308,3658,12924,3304,3700,1499,3402,2372,4313,3395,3600,3461,2906,4217,2274,2163,1320,1990,1659,834,3864,11933,663,1370,682,2315,1575,2193,7569.63
